OFC_CD,OFC_ENG_NM,PRNT_OFC_CD,CRE_DT,CRE_USR_ID,UPD_DT,UPD_USR_ID,DELT_FLG
SINHO,Ocean Network Express Pte. Ltd.,,2018-02-06T08:48:00,MIGUSER,2018-02-06T08:48:00,MIGUSER,N
SINHQ,Ocean Network Express Pte. Ltd.,SINHO,2018-02-06T08:48:00,MIGUSER,2018-02-07T15:55:36,CLTOPER,N
SINBA,Ocean Network Express (Singapore) Pte. Ltd. - Sing,SINHQ,2018-02-06T08:48:00,MIGUSER,2018-02-09T11:06:10,phoebe.tse@one-line.com,N
SINBB,Ocean Network Express (Singapore) Pte. Ltd.,SINHQ,2018-02-06T08:48:00,MIGUSER,2022-05-10T12:32:19,zac.kan@one-line.com,N
RICHQ,Ocean Network Express (North America) Inc.,SINHO,2018-02-06T08:48:00,MIGUSER,2018-03-08T10:15:22,phoebe.tse@one-line.com,N
HNLBA,"INCHCAPE SHIPPING SERVICES ., HONOLULU",RICBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T12:28:34,angie.tan@one-line.com,N
NORBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:05:51,qinying.shum@one-line.com,N
SFOBB,Ocean Network Express (North America) Inc.,LAXBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:22:23,qinying.shum@one-line.com,N
HOUBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:08:46,qinying.shum@one-line.com,N
NYCBB,Ocean Network Express (North America) Inc.,RICHQ,2018-02-06T08:48:00,MIGUSER,2020-03-27T20:38:20,rachelle.mercado@one-line.com,N
ATLBB,Ocean Network Express (North America) Inc.,NYCBB,2018-02-06T08:48:00,MIGUSER,2020-01-17T00:34:06,rachel.estes@one-line.com,N
LAXBB,Ocean Network Express (North America) Inc.,RICHQ,2018-02-06T08:48:00,MIGUSER,2020-01-17T00:34:46,rachel.estes@one-line.com,N
CLTBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:16:21,qinying.shum@one-line.com,N
BOSBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:13:16,qinying.shum@one-line.com,N
MIABB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:07:20,qinying.shum@one-line.com,N
CONBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:04:23,qinying.shum@one-line.com,N
SEABB,Ocean Network Express (North America) Inc.,LAXBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T18:26:13,qinying.shum@one-line.com,N
RICBB,Ocean Network Express (North America) Inc.,RICHQ,2018-02-06T08:48:00,MIGUSER,2021-11-13T03:50:16,jamie.lambson@one-line.com,N
BOIBB,Ocean Network Express (North America) Inc.,LAXBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T10:06:25,mayur.botadra@one-line.com,N
CHIBB,Ocean Network Express (North America) Inc.,RICHQ,2018-02-06T08:48:00,MIGUSER,2018-05-03T23:26:58,pushkar.goel@one-line.com,N
CLEBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,CHIBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:11:45,qinying.shum@one-line.com,N
BALBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,NYCBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T22:14:54,qinying.shum@one-line.com,N
BUEBB,OCEAN NETWORK EXPRESS ARGENTINA S.A.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:35:42,larissa.penafiel@one-line.com,N
PLBBA,MERCATOR BOLIVIA OPERADOR LOGISTICO S.A.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:36:11,larissa.penafiel@one-line.com,N
BELBB,OCEAN NETWORK EXPRESS (LATINA) LTDA - BELEM,SAOBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T16:58:47,phoebe.tse@one-line.com,N
CWBBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - CURITIBA,SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-02T20:47:29,phoebe.tse@one-line.com,N
FORBA,"WILSON SONS AGENCIA MARITIMA, FORTALEZA",SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-04T23:39:00,phoebe.tse@one-line.com,N
ITJBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - ITAJAI,SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-02T20:47:42,phoebe.tse@one-line.com,N
MAOBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - MANAUS,SAOBB,2018-02-06T08:48:00,MIGUSER,2018-04-04T20:53:11,alessandra.tamashiro@one-line.com,N
PNGBA,"WILSON SONS AGENCIA MARITIMA, PARANAGUA",SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-04T23:39:17,phoebe.tse@one-line.com,N
RIGBA,"WILSON SONS AGENCIA MARÍTIMA, RIO GRANDE",SAOBB,2018-02-06T08:48:00,MIGUSER,2019-09-04T01:13:10,sabrina.brito@one-line.com,N
RIOBA,"WILSON SONS AGENCIA MARITIMA, RIO DE JANEIRO",SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-04T23:39:42,phoebe.tse@one-line.com,N
SAOBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - SAO PAULO,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:36:47,larissa.penafiel@one-line.com,N
LAGBA,"SERVINAVE,C.A., LA GUAIRA",CCSBA,2018-02-06T08:48:00,MIGUSER,2018-02-21T22:01:56,giovana.monteiro@one-line.com,N
SAOHQ,OCEAN NETWORK EXPRESS (LATINA) LTDA. - SAO PAULO,SINHO,2018-02-06T08:48:00,MIGUSER,2023-12-07T22:11:07,vitor.monteiro@one-line.com,N
SSABA,"WILSON SONS AGENCIA MARITIMA, SALVADOR",SAOBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T03:27:59,mariana.martelli@one-line.com,N
SSZBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - SANTOS,SAOBB,2018-02-06T08:48:00,MIGUSER,2020-02-27T22:19:23,sabrina.brito@one-line.com,N
SUABA,"WILSON SONS, SUAPE",SAOBB,2018-02-06T08:48:00,MIGUSER,2018-05-04T23:40:03,phoebe.tse@one-line.com,N
MONBB,OCEAN NETWORK EXPRESS (CANADA) INC.,TORBB,2018-02-06T08:48:00,MIGUSER,2020-06-25T04:44:17,rachel.estes@one-line.com,N
VANBB,Ocean Network Express (Canada) Inc.,LAXBB,2018-02-06T08:48:00,MIGUSER,2020-12-18T03:59:19,rachelle.mercado@one-line.com,N
HALBB,OCEAN NETWORK EXPRESS (CANADA) INC.,TORBB,2018-02-06T08:48:00,MIGUSER,2020-06-25T04:45:15,rachel.estes@one-line.com,N
TORBB,Ocean Network Express (Canada) Inc.,RICHQ,2018-02-06T08:48:00,MIGUSER,2021-11-13T03:49:50,jamie.lambson@one-line.com,N
IQQBB,OCEAN NETWORK EXPRESS (CHILE) SPA. IQUIQUE,SCLBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T02:56:57,mariana.martelli@one-line.com,N
VAPBB,OCEAN NETWORK EXPRESS CHILE SPA. VALPARAISO,SCLBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T02:57:53,mariana.martelli@one-line.com,N
CCPBB,OCEAN NETWORK EXPRESS (CHILE) SPA. CONCEPCION,SCLBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T02:59:09,mariana.martelli@one-line.com,N
SCLBB,OCEAN NETWORK EXPRESS (CHILE) SPA. SANTIAGO,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:37:20,larissa.penafiel@one-line.com,N
BOGBB,OCEAN NETWORK EXPRESS COLOMBIA - ONE COLOMBIA SAS,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:38:32,larissa.penafiel@one-line.com,N
CTGBA,GERLEINCO CARTAGENA,BOGBB,2018-02-06T08:48:00,MIGUSER,2020-06-24T03:01:39,mariana.martelli@one-line.com,N
BUNBA,COMPANIA TRANSPORTADORA BUENAVENTURA.,BOGBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T18:48:25,qinying.shum@one-line.com,N
SJOBA,BARLOVENTO AGENCIA MARITIMA S.A.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:39:00,larissa.penafiel@one-line.com,N
SDQBA,"AGENCIAS NAVIERAS RANNIK,  S.A.S",SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:39:25,larissa.penafiel@one-line.com,N
GUABA,TRANSMARES INTERNATIONAL S.A. - GUATEMALA CITY,PRQBA,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:40:37,larissa.penafiel@one-line.com,N
PRQBA,"TRANSMARES INTERNACIONAL, S.A - PUERTO QUETZAL",SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-25T22:45:32,gabriele.oliveira@one-line.com,N
TGCBA,"SERVICIOS PORTUARIOS, S.A. DE C.V. (SEPOSA) TEGUCIGALPA",SLRBA,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:41:35,larissa.penafiel@one-line.com,N
SLRBA,"SERVICIOS PORTUARIOS, S. A. DE C.V. (SEPOSA)",SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:42:10,larissa.penafiel@one-line.com,N
SAPBA,"SERVICIOS PORTUARIOS, S. A. DE C.V. (SEPOSA)",SLRBA,2018-02-06T08:48:00,MIGUSER,2020-06-26T06:20:00,mariana.martelli@one-line.com,N
KINBA,PEREZ Y CIA (JAMAICA) LTD,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:42:37,larissa.penafiel@one-line.com,N
VERBA,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-02-06T08:48:00,MIGUSER,2019-07-24T00:11:02,mariana.romero@one-line.com,N
ZLOBB,"ONE OCEAN NETWORK EXPRESS SHIPPING MEXICO, S.A. DE C.V.",MEXBB,2018-02-06T08:48:00,MIGUSER,2020-06-25T00:02:10,astrid.ramos@one-line.com,N
ATMBA,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-02-06T08:48:00,MIGUSER,2019-03-05T02:30:04,astrid.ramos@one-line.com,N
GDLBB,"ONE OCEAN NETWORK EXPRESS SHIPPING MEXICO, S.A. DE C.V. GUADALAJARA",MEXBB,2018-02-06T08:48:00,MIGUSER,2023-01-18T22:25:19,sergio.marques@one-line.com,N
MEXBB,"ONE OCEAN NETWORK EXPRESS SHIPPING MEXICO, S.A. DE C.V. CIUDAD DE MEXICO",SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:43:18,larissa.penafiel@one-line.com,N
LZCBA,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-02-06T08:48:00,MIGUSER,2019-03-05T02:31:56,astrid.ramos@one-line.com,N
ESEBA,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-02-06T08:48:00,MIGUSER,2019-03-05T02:31:07,astrid.ramos@one-line.com,N
MNGBA,"J. L. GRIFFITH SUCESORES, S. A., MANAGUA",SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:43:34,larissa.penafiel@one-line.com,N
MITBB,OCEAN NETWORK EXPRESS (PANAMA),PANBB,2018-02-06T08:48:00,MIGUSER,2020-06-26T06:20:34,mariana.martelli@one-line.com,N
PANBA,OCEAN NETWORK EXPRESS (PANAMA) INC.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:43:53,larissa.penafiel@one-line.com,N
PANBB,OCEAN NETWORK EXPRESS (PANAMA) INC.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2018-04-10T04:20:04,alessandra.tamashiro@one-line.com,N
LIMBB,Ocean Network Express (Peru) S.A.C.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:44:35,larissa.penafiel@one-line.com,N
SJUBA,CARIBE SHIPPING CO. INC,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:44:51,larissa.penafiel@one-line.com,N
ASUBA,TRANSMAR S.A.C.I.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:44:07,larissa.penafiel@one-line.com,N
SALBA,COMPANIA MERCANTIL INTERCONTINENTAL S.A. DE C.V.,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:40:17,larissa.penafiel@one-line.com,N
PTSBA,MELVILLE SHIPPING,SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:45:09,larissa.penafiel@one-line.com,N
MVDBB,Ocean Network Express (Uruguay),SAOHQ,2018-02-06T08:48:00,MIGUSER,2023-09-19T03:45:30,larissa.penafiel@one-line.com,N
CCSBA,"SERVINAVE,C.A., CARACAS",SAOHQ,2018-02-06T08:48:00,MIGUSER,2018-02-21T21:59:29,giovana.monteiro@one-line.com,N
PBLBA,"SERVINAVE,C.A., PUERTO CABELLO",CCSBA,2018-02-06T08:48:00,MIGUSER,2018-02-21T22:03:31,giovana.monteiro@one-line.com,N
PSUBA,"SERVINAVE,C.A., PUERTO SUCRE",CCSBA,2018-02-06T08:48:00,MIGUSER,2018-02-24T15:50:03,angie.tan@one-line.com,N
LONHQ,Ocean Network Express (Europe) Ltd. Ocean Network,SINHO,2018-02-06T08:48:00,MIGUSER,2019-06-24T22:10:45,maria.godinho@one-line.com,N
LONBB,OCEAN NETWORK EXPRESS (EUROPE) LTD.,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-08-30T16:48:49,maria.godinho@one-line.com,N
IPSBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. OCEAN NETWORK - IPSWICH,SOUBB,2018-02-06T08:48:00,MIGUSER,2019-10-03T21:56:32,hayley.burch@one-line.com,N
LIVBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. OCEAN NETWORK - LIVERPOOL,SOUBB,2018-02-06T08:48:00,MIGUSER,2019-10-03T22:00:13,hayley.burch@one-line.com,N
RUSBB,OCEAN NETWORK EXPRESS (RUS) LLC,SPBBB,2018-02-06T08:48:00,MIGUSER,2020-01-24T17:43:13,stanley.colaco@one-line.com,N
SOUBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. OCEAN NETWORK - UK -  SOUTHAMPTON,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:07:48,james.neligan@one-line.com,N
VNABB,OCEAN NETWORK EXPRESS (EUROPE) LTD. AUSTRIA BRANCH - VIENNA,HAMBB,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:10:19,james.neligan@one-line.com,N
ANRBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. BELGIUM BRANCH,LONHQ,2018-02-06T08:48:00,MIGUSER,2020-11-03T20:01:47,james.neligan@one-line.com,N
VARBA,"TRANSTERRA LOGISTICS (BULGARIA) LTD, VARNA",LONHQ,2018-02-06T08:48:00,MIGUSER,2018-04-30T21:20:39,qinying.shum@one-line.com,N
COOBA,SOCOPAO BENIN - COTONOU,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-07-18T17:52:02,koray.mertler@one-line.com,N
BASBB,"OCEAN NETWORK EXPRESS (EUROPE) LTD., ZWEIGNIEDERLASSUNG PRATTELN - BASEL - SWITZERLAND",HAMBB,2018-02-06T08:48:00,MIGUSER,2019-11-01T17:57:15,maria.godinho@one-line.com,N
ABJBB,"OCEAN NETWORK EXPRESS, IVORY COAST S.A",LONHQ,2018-02-06T08:48:00,MIGUSER,2020-05-16T16:08:36,koray.mertler@one-line.com,N
LMSBA,GAP VASSILOPOULOS  JAMES LOUISIDES LIMITED - LIMASSOL - CYPRUS,LONHQ,2018-02-06T08:48:00,MIGUSER,2022-06-20T23:31:30,james.neligan@one-line.com,N
PRGBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. CZECH REPUBLIC - PRAGUE,HAMBB,2018-02-06T08:48:00,MIGUSER,2019-10-17T22:49:45,james.neligan@one-line.com,N
HAMBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. GERMANY BRANCH - HAMBURG,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:39:06,james.neligan@one-line.com,N
BREBB,Ocean Network Express (Europe) Ltd. Germany Branch,HAMBB,2018-02-06T08:48:00,MIGUSER,2018-02-12T23:45:48,greta.mccartin@one-line.com,N
DUSBB,Ocean Network Express (Europe) Ltd. Germany Branch,HAMBB,2018-02-06T08:48:00,MIGUSER,2021-12-08T23:17:48,james.neligan@one-line.com,N
STRBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. GERMANY BRANCH - STUTTGART,HAMBB,2018-02-06T08:48:00,MIGUSER,2019-10-21T17:58:30,james.neligan@one-line.com,N
AARBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. DENMARK FILIAL - AARHUS,GOTBB,2018-02-06T08:48:00,MIGUSER,2023-06-08T16:58:10,reuben.phillips@one-line.com,N
NOSBB,OCEAN NETWORK EXPRESS (NORWAY),GOTBB,2018-02-06T08:48:00,MIGUSER,2018-08-01T17:41:10,khalid.mahmood@one-line.com,N
TLLBA,TRANSOCEAN EESTI OU - TALLINN - ESTONIA,LONHQ,2018-02-06T08:48:00,MIGUSER,2022-11-01T07:27:21,koray.mertler@one-line.com,N
ALYBB,OCEAN NETWORK EXPRESS SHIPPING (EGYPT)- ALEXANDRIA,CAIBB,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:18:40,nozomi.sato@one-line.com,N
CAIBB,OCEAN NETWORK EXPRESS SHIPPING (EGYPT) - CAIRO,LONHQ,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:19:17,nozomi.sato@one-line.com,N
DAMBB,OCEAN NETWORK EXPRESS SHIPPING (EGYPT) - DAMIETTA,CAIBB,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:20:14,nozomi.sato@one-line.com,N
EDKBB,Ocean Network Express Shipping (Egypt),CAIBB,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:19:01,nozomi.sato@one-line.com,N
PSDBB,Ocean Network Express Shipping (Egypt) - SUEZ CANAL,CAIBB,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:20:01,nozomi.sato@one-line.com,N
SUZBA,SUEZ,CAIBB,2018-02-06T08:48:00,MIGUSER,2018-04-30T20:52:58,qinying.shum@one-line.com,N
SUZBB,Ocean Network Express Shipping (Egypt),CAIBB,2018-02-06T08:48:00,MIGUSER,2021-08-13T23:19:30,nozomi.sato@one-line.com,N
ALGBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - ALGECIRAS,BCNBB,2018-02-06T08:48:00,MIGUSER,2021-07-13T18:56:20,nozomi.sato@one-line.com,N
BCNBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - BARCELONA,LONHQ,2018-02-06T08:48:00,MIGUSER,2021-07-13T18:56:49,nozomi.sato@one-line.com,N
BIOBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - BILBAO,BCNBB,2018-02-06T08:48:00,MIGUSER,2021-07-12T20:14:42,nozomi.sato@one-line.com,N
MADBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - MADRID,BCNBB,2018-02-06T08:48:00,MIGUSER,2021-07-13T18:58:44,nozomi.sato@one-line.com,N
VGOBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - VIGO,BCNBB,2018-02-06T08:48:00,MIGUSER,2021-07-13T19:00:30,nozomi.sato@one-line.com,N
VLCBB,OCEAN NETWORK EXPRESS (SPAIN) S.A. - VALENCIA,BCNBB,2018-02-06T08:48:00,MIGUSER,2021-07-13T19:01:31,nozomi.sato@one-line.com,N
HELBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. FILIAL I FINLAND - HELSINKI,GOTBB,2018-02-06T08:48:00,MIGUSER,2019-10-21T17:59:30,james.neligan@one-line.com,N
LEHBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. FRANCE BRANCH - LE HAVRE,LONHQ,2018-02-06T08:48:00,MIGUSER,2020-08-10T19:33:27,james.neligan@one-line.com,N
MRSBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. FRANCE BRANCH - MARSEILLE,LEHBB,2018-02-06T08:48:00,MIGUSER,2020-08-10T19:34:14,james.neligan@one-line.com,N
PTIBA,WILHELMSEN PORT SERVICES GEORGIA LLC,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-10-25T22:23:40,james.neligan@one-line.com,N
TEMBB,Ocean Network Express (Ghana) Limited,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-08-30T16:56:16,maria.godinho@one-line.com,N
PIRBA,ENA SHIPPING AGENCY SA - PIRAEUS - GREECE,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:50:09,james.neligan@one-line.com,N
SKGBA,ENA SHIPPING AGENCY S.A.- THESSALONIKI,PIRBA,2018-02-06T08:48:00,MIGUSER,2020-11-27T17:48:01,james.neligan@one-line.com,N
RJKBA,TRANSPORT I LOGISTIKA DRUSTVO S OGRANICENOM ODGOVO - CROATIA - RIJEKA,LONHQ,2018-02-06T08:48:00,MIGUSER,2022-01-20T23:13:37,james.neligan@one-line.com,N
BUDBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. MAGYARORSZAGI - BUDAPEST - HUNGARY,HAMBB,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:08:07,james.neligan@one-line.com,N
DUBBA,UNITED LINER AGENCY - DUBLIN - IRELAND,LONHQ,2018-02-06T08:48:00,MIGUSER,2020-03-30T18:29:23,james.neligan@one-line.com,N
TLVBA,CROWN SHIPPING LTD,HFABA,2018-02-06T08:48:00,MIGUSER,2021-11-05T17:29:30,maria.godinho@one-line.com,N
HFABA,CROWN SHIPPING LTD - HAIFA - ISRAEL,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:40:57,james.neligan@one-line.com,N
GOABB,OCEAN NETWORK EXPRESS (EUROPE) LTD (ITALY BRANCH) - GENOA,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T18:08:26,james.neligan@one-line.com,N
MBABA,EAST AFRICAN COMMERCIAL AND SHIPPING CO LTD - MOMBASA - KENYA,LONHQ,2018-02-06T08:48:00,MIGUSER,2023-01-27T19:10:27,james.neligan@one-line.com,N
BEYBA,SEANAUTICS SAL - BEIRUT - LEBANON,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:58:30,james.neligan@one-line.com,N
MSUBA,CHARINA SHIPS AGENCY - MASERU - LESOTHO,LONHQ,2018-02-06T08:48:00,MIGUSER,2019-10-21T21:29:04,james.neligan@one-line.com,N
KLPBA,"UAB TRANSOCEAN LIETUVA, KLAIPEDA",LONHQ,2018-02-06T08:48:00,MIGUSER,2023-11-20T21:50:49,james.neligan@one-line.com,N
